State,County,Homes,Median,Average
TN,Anderson,1301.00,172000.00,201555.00
TN,Bedford,897.00,200000.00,216445.00
TN,Benton,196.00,122750.00,129096.00
TN,Bledsoe,83.00,129000.00,144472.00
TN,Blount,2607.00,240000.00,282957.00
TN,Bradley,1858.00,205000.00,221708.00
TN,Campbell,597.00,163000.00,234898.00
TN,Cannon,194.00,190500.00,203363.00
TN,Carroll,313.00,94000.00,111406.00
TN,Carter,748.00,147400.00,171576.00
TN,Cheatham,879.00,255000.00,264460.00
TN,Chester,194.00,146350.00,156013.00
TN,Claiborne,325.00,144000.00,177696.00
TN,Clay,62.00,115000.00,145623.00
TN,Cocke,328.00,135000.00,158351.00
TN,Coffee,911.00,200000.00,211632.00
TN,Crockett,177.00,102000.00,113217.00
TN,Cumberland,1156.00,193600.00,221419.00
TN,Davidson,15684.00,325000.00,411524.00
TN,Decatur,165.00,94000.00,124870.00
TN,DeKalb,316.00,179700.00,214867.00
TN,Dickson,1017.00,232500.00,246025.00
TN,Dyer,470.00,125750.00,138560.00
TN,Fayette,972.00,274900.00,305961.00
TN,Fentress,257.00,149900.00,167538.00
TN,Franklin,813.00,209900.00,275048.00
TN,Gibson,796.00,137850.00,145120.00
TN,Giles,272.00,143600.00,159420.00
TN,Grainger,236.00,172450.00,210218.00
TN,Greene,864.00,150000.00,169443.00
TN,Grundy,90.00,122450.00,128985.00
TN,Hamblen,913.00,164900.00,181959.00
TN,Hamilton,7310.00,250800.00,283027.00
TN,Hancock,52.00,97500.00,110394.00
TN,Hardeman,172.00,93400.00,100224.00
TN,Hardin,547.00,157500.00,212919.00
TN,Hawkins,649.00,150000.00,166093.00
TN,Haywood,147.00,124400.00,135592.00
TN,Henderson,298.00,123450.00,136852.00
TN,Henry,407.00,124000.00,144514.00
TN,Hickman,232.00,164500.00,168318.00
TN,Houston,74.00,126200.00,145370.00
TN,Humphreys,214.00,149950.00,170749.00
TN,Jackson,103.00,125000.00,148628.00
TN,Jefferson,848.00,195223.00,241071.00
TN,Johnson,217.00,150000.00,197386.00
TN,Knox,10367.00,234000.00,276901.00
TN,Lake,48.00,70000.00,72527.00
TN,Lauderdale,179.00,110000.00,115617.00
TN,Lawrence,605.00,147500.00,155684.00
TN,Lewis,161.00,148000.00,162553.00
TN,Lincoln,511.00,153127.00,170964.00
TN,Loudon,1270.00,287450.00,334225.00
TN,Macon,416.00,165000.00,167546.00
TN,Madison,1813.00,165000.00,183591.00
TN,Marion,307.00,170000.00,229980.00
TN,Marshall,532.00,203750.00,216932.00
TN,Maury,3016.00,268453.00,276970.00
TN,McMinn,753.00,145000.00,155156.00
TN,McNairy,277.00,99900.00,116618.00
TN,Meigs,80.00,204500.00,240839.00
TN,Monroe,564.00,169000.00,195852.00
TN,Montgomery,5609.00,229900.00,240094.00
TN,Moore,63.00,169000.00,188815.00
TN,Morgan,117.00,140000.00,149719.00
TN,Obion,336.00,97250.00,110801.00
TN,Overton,292.00,155500.00,167838.00
TN,Perry,70.00,89950.00,109629.00
TN,Pickett,77.00,139700.00,155648.00
TN,Polk,135.00,155000.00,164590.00
TN,Putnam,1194.00,204000.00,224216.00
TN,Rhea,376.00,184000.00,226012.00
TN,Roane,809.00,199900.00,241675.00
TN,Robertson,1236.00,255980.00,264786.00
TN,Rutherford,7165.00,279900.00,297564.00
TN,Scott,131.00,142000.00,143387.00
TN,Sequatchie,194.00,171250.00,200685.00
TN,Sevier,1371.00,240000.00,266464.00
TN,Shelby,11333.00,233000.00,272825.00
TN,Smith,282.00,178700.00,179192.00
TN,Stewart,136.00,145500.00,177670.00
TN,Sullivan,2768.00,163000.00,191200.00
TN,Sumner,4245.00,307000.00,340968.00
TN,Tipton,1008.00,190000.00,195417.00
TN,Trousdale,146.00,211250.00,210008.00
TN,Unicoi,204.00,149000.00,157453.00
TN,Union,209.00,185000.00,236759.00
TN,Van Buren,67.00,139900.00,186781.00
TN,Warren,524.00,155000.00,167968.00
TN,Washington,2358.00,198000.00,229686.00
TN,Wayne,119.00,85000.00,97274.00
TN,Weakley,364.00,120000.00,127808.00
TN,White,390.00,150000.00,162271.00
TN,Williamson,5302.00,529355.00,625570.00
TN,Wilson,3897.00,348000.00,367310.00
